"","ID","Title","cerno","N1","AUC","cES","P.Value","adj.P.Val"
"LI.M37.0","LI.M37.0","immune activation - generic cluster",1125.49051955982,320,0.715302363812273,1.75857893681222,3.11188201379408e-29,1.07671117677275e-26
"LI.M11.0","LI.M11.0","enriched in monocytes (II)",676.107348866367,181,0.771114694545304,1.86769985874687,2.67143688605613e-21,4.62158581287711e-19
"LI.M32.1","LI.M32.1","platelet activation (II)",149.952912960384,21,0.887546977218949,3.57030745143772,4.81422831044014e-14,5.55240998470763e-12
"LI.M4.0","LI.M4.0","cell cycle and transcription",917.958204702049,314,0.684897585206773,1.46171688646823,3.03616702725965e-13,2.6262844785796e-11
"LI.S4","LI.S4","Monocyte surface signature",341.302207120775,90,0.783301324826666,1.8961233728932,4.38367572845894e-12,3.03350360409359e-10
"LI.M32.0","LI.M32.0","platelet activation (I)",137.206180648375,22,0.889049808225488,3.11832228746308,1.64380667081141e-11,9.47928513501245e-10
"LI.M32.2","LI.M32.2","CORO1A-DEF6 network (I)",123.196377167946,19,0.932275642340458,3.24200992547227,6.3149864283686e-11,3.12140757745077e-09
"LI.M5.0","LI.M5.0","regulation of antigen presentation and immune response",287.416905762353,77,0.753119562158412,1.86634354391139,3.99519088590314e-10,1.72792005815311e-08
"LI.M75","LI.M75","antiviral IFN signature",126.999672913149,22,0.915101024864252,2.88635620257156,5.51988673882472e-10,2.12208979070373e-08
"LI.M118.0","LI.M118.0","enriched in monocytes (IV)",214.857125851653,54,0.799916068489076,1.98941783195975,4.47579730588624e-09,1.54862586783664e-07
"LI.M136","LI.M136","TBA",96.1473213116866,16,0.874291686962169,3.00460379099021,2.46003805902652e-08,7.73793789475615e-07
"LI.M63","LI.M63","regulation of localization (GO)",80.6219415618441,12,0.887039081355455,3.35924756507684,4.84151512078212e-08,1.39597019315884e-06
"LI.M100","LI.M100","MAPK, RAS signaling",71.7116773858564,10,0.900532450245122,3.58558386929282,9.54719557433199e-08,2.54102282209144e-06
"LI.M167","LI.M167","enriched in cell cycle",88.2325594860038,15,0.907827856431571,2.94108531620013,1.21399075265873e-07,3.00029143157087e-06
"LI.M32.4","LI.M32.4","CORO1A-DEF6 network (II)",83.373760184767,14,0.906141136196012,2.97763429231311,2.07693578304426e-07,4.68047656391931e-06
"LI.M32.7","LI.M32.7","TBA",73.0596656277705,11,0.938538961038961,3.32089389217139,2.16438222608985e-07,4.68047656391931e-06
"LI.M188","LI.M188","TBA",69.2874781933463,10,0.801892795688452,3.46437390966732,2.37980577823394e-07,4.70098045407444e-06
"LI.M32.3","LI.M32.3","KLF12 targets network",89.4520008385641,16,0.886075255723332,2.79537502620513,2.44559676801561e-07,4.70098045407444e-06
"LI.M16","LI.M16","TLR and inflammatory signaling",160.050785124902,40,0.792071268402067,2.00063481406127,2.77163227047211e-07,5.04728823991236e-06
"LI.M32.8","LI.M32.8","cytoskeletal remodeling",67.7954738412492,10,0.860325963442745,3.38977369206246,4.15432097776714e-07,7.18697529153715e-06
"LI.M165","LI.M165","enriched in activated dendritic cells (II)",139.322379559763,35,0.753132310891604,1.99031970799661,1.65357593203263e-06,2.72446320230138e-05
"LI.M192","LI.M192","TBA",65.5904997038549,12,0.840849811141054,2.73293748766062,9.96730412301755e-06,0.000156758510298367
"LI.M127","LI.M127","type I interferon response",64.8500688642286,12,0.855712306676624,2.70208620267619,1.2804155026024e-05,0.000192619027782796
"LI.M32.6","LI.M32.6","TBA",67.4942734125529,13,0.816906192709816,2.5959335927905,1.52580725197166e-05,0.000219970545492581
"LI.M215","LI.M215","small GTPase mediated signal transduction",73.3285190344639,15,0.788543966748928,2.44428396781546,1.71574373874227e-05,0.000237458933441931
"LI.M55","LI.M55","TBA",63.8237035223885,12,0.874836304209011,2.65932098009952,1.8079856478346e-05,0.000240601166981066
"LI.M226","LI.M226","proteasome",61.1268680002937,12,0.90496715261318,2.54695283334557,4.42095976816721e-05,0.000566537807328094
"LI.M248","LI.M248","TBA",50.8240473271469,9,0.864557856993413,2.82355818484149,5.66029647103128e-05,0.000699450921063151
"LI.M216","LI.M216","respiratory electron transport chain (mitochondrion)",57.0315024634626,11,0.817086776859504,2.59234102106648,6.07452155564579e-05,0.000724753261466704
"LI.M150","LI.M150","innate antiviral response",58.9514630718129,12,0.847300237020682,2.45631096132554,8.9683314474067e-05,0.00103434756026757
"LI.M40","LI.M40","complement and other receptors in DCs",61.7137148775111,13,0.800251764600099,2.37360441836581,9.82407301562533e-05,0.00106741521253826
"LI.M32.5","LI.M32.5","TBA",67.6752553551499,15,0.780365415421916,2.25584184517166,9.87204820844633e-05,0.00106741521253826
"LI.M67","LI.M67","activated dendritic cells",55.2584739779215,11,0.849749114521842,2.51174881717825,0.000109128893700049,0.00111665391969013
"LI.M174","LI.M174","TBA",87.3323846676469,22,0.840988074253201,1.9848269242647,0.000109728997888625,0.00111665391969013
"LI.M4.3","LI.M4.3","myeloid cell enriched receptors and transporters",108.795557426869,30,0.766653671637265,1.81325929044781,0.000118785761591804,0.00117428210030755
"LI.M219","LI.M219","respiratory electron transport chain (mitochondrion)",72.6399833083496,17,0.752707746734467,2.1364700973044,0.000127655198452872,0.00122690829624149
"LI.M2.1","LI.M2.1","extracellular matrix (II)",145.644091456939,45,0.590347930977197,1.61826768285488,0.000186969989909789,0.00174842206780505
"LI.M120","LI.M120","TBA",53.5085122059545,11,0.80823199527745,2.43220510027066,0.000192826924320727,0.00175318722034902
"LI.M156.0","LI.M156.0","plasma cells & B cells, immunoglobulins",93.3061648011659,25,0.705663613330735,1.86612329602332,0.000197613588420843,0.00175318722034902
"LI.M72.0","LI.M72.0","TBA",78.4934614074366,20,0.843127862037608,1.96233653518591,0.000264891036807463,0.00229130746838455
"LI.M118.1","LI.M118.1","enriched in monocytes (surface)",69.1255693573421,17,0.814165479142232,2.0331049810983,0.000346594760495125,0.0029249216373491
"LI.M113","LI.M113","golgi membrane (I)",45.3611034330701,9,0.88958869914652,2.52006130183723,0.000367440352697612,0.00302700861984224
"LI.M238","LI.M238","respiratory electron transport chain (mitochondrion)",68.8225132154004,17,0.840129284161544,2.02419156515883,0.000377140832166003,0.00303466809138225
"LI.M72.1","LI.M72.1","TBA",65.6151782851138,16,0.859952914434161,2.05047432140981,0.000420006102383522,0.00330277525965224
"LI.M124","LI.M124","enriched in membrane proteins",70.929274453127,18,0.736482317409801,1.97025762369797,0.000455868861580515,0.00350512502459685
"LI.M117","LI.M117","cell adhesion (GO)",78.918350553416,21,0.717437634358713,1.8790083465099,0.000487454826839898,0.00366650804536097
"LI.M250","LI.M250","spliceosome",50.355522645912,11,0.839073199527745,2.288887392996,0.000524926604246821,0.00386435329934894
"LI.M144","LI.M144","cell cycle, ATP binding",64.3526976383937,16,0.847923770092547,2.0110218011998,0.000598341497034281,0.00431304495778877
"LI.M23","LI.M23","RA, WNT, CSF receptors network (monocyte)",52.6159316208913,12,0.788396809420219,2.1923304842038,0.00064987196831887,0.00458705018830377
"LI.M37.2","LI.M37.2","endoplasmic reticulum",69.5387235943147,18,0.762379256468822,1.93163121095319,0.000662868524321354,0.00458705018830377
"LI.S10","LI.S10","Resting dendritic cell surface signature",204.44138833169,72,0.645206415303035,1.41973186341451,0.000696159484818688,0.00472296434798561
"LI.M48","LI.M48","TBA",51.4540495981737,12,0.788661969544466,2.14391873325724,0.000921250273627189,0.00612985758990399
"LI.S0","LI.S0","T cell surface signature",88.6083087285038,26,0.721695131245237,1.70400593708661,0.00116570162562879,0.00761005212202944
"LI.M128","LI.M128","TBA",46.8584720646694,11,0.839814049586777,2.12993054839406,0.00153126234400893,0.00981142168568686
"LI.M7.0","LI.M7.0","enriched in T cells (I)",161.303179500659,56,0.666291776017837,1.44020695982731,0.00159144168687917,0.0100116149756399
"LI.M7.2","LI.M7.2","enriched in NK cells (I)",138.899964205269,47,0.671322795087931,1.47765919367308,0.001807390944658,0.0111670940509226
"LI.M66","LI.M66","TBA",62.3529565593608,17,0.781798593308857,1.83391048704002,0.00213580039899217,0.0129646831237068
"LI.M5.1","LI.M5.1","T cell activation and signaling",75.4579160044647,22,0.744414327430989,1.71495263646511,0.00220651213931714,0.0131629862104091
"LI.M111.1","LI.M111.1","viral sensing & immunity; IRF2 targets network (II)",45.1658851504074,11,0.771109799291617,2.05299477956397,0.00252817119984941,0.0148262243245406
"LI.M49","LI.M49","transcription regulation in cell development",134.442866116057,46,0.687069580763007,1.46133550126149,0.00260389955537009,0.0150158207693009
"LI.M72.2","LI.M72.2","TBA",47.4192910373147,12,0.848923666352804,1.97580379322144,0.00297651289447217,0.0168831714997929
"LI.M131","LI.M131","TBA",50.0156270131062,13,0.77093417654493,1.92367796204255,0.00313064610423761,0.017471025033326
"LI.M60","LI.M60","lymphocyte generic cluster",60.6476202872395,17,0.710388578370882,1.78375353785999,0.0032942999014552,0.0180925042206904
"LI.M161","LI.M161","TBA",49.7365896932173,13,0.834477263758386,1.91294575743144,0.0033796893626538,0.0182714456168471
"LI.M47.0","LI.M47.0","enriched in B cells (I)",130.467603999579,45,0.626285148829516,1.44964004443976,0.0034346579606159,0.0182829485288169
"LI.M7.1","LI.M7.1","T cell activation (I)",132.56780259899,46,0.668150566355048,1.44095437607597,0.00361891741995006,0.0188529569759206
"LI.M105","LI.M105","TBA",60.2370754749119,17,0.72803716537599,1.77167869043858,0.00365071710227365,0.0188529569759206
"LI.M139","LI.M139","lysosomal/endosomal proteins",43.6796873297772,11,0.781602715466352,1.98544033317169,0.00388826314380361,0.0197843977611184
"LI.M79","LI.M79","TBA",40.6925496112869,10,0.818340313626181,2.03462748056434,0.00407886693703469,0.0204534486987537
"LI.M114.0","LI.M114.0","TBA",107.641069678001,36,0.691867497066522,1.4950148566389,0.0041505542817885,0.0205155968785546
"LI.M214","LI.M214","TBA",46.1150466034927,12,0.831312163814843,1.92146027514553,0.00428821154512998,0.0208974816142954
"LI.M153","LI.M153","TBA",54.0295907046481,15,0.795217993678833,1.8009863568216,0.00456264270454515,0.0218686157206972
"LI.M87","LI.M87","transmembrane transport (I)",77.3388881164248,24,0.710795140806184,1.61122683575885,0.00461389869251703,0.0218686157206972
"LI.M76","LI.M76","DNA repair",72.1070034533295,22,0.703136303107072,1.63879553303022,0.00476570538685786,0.0222694157656258
"LI.M211","LI.M211","TBA",42.9200535586074,11,0.840121015348288,1.95091152539125,0.00482718549832928,0.0222694157656258
"LI.M237","LI.M237","golgi membrane (II)",59.0512738592506,17,0.783368799880802,1.7368021723309,0.00489424043507483,0.0222816735596828
"LI.M14","LI.M14","T cell differentiation",45.2298419689376,12,0.710748184464864,1.88457674870573,0.00547113463349935,0.0245845790024776
"LI.M185","LI.M185","TBA",47.8408908039417,13,0.823187819388871,1.84003426169006,0.00563598089643695,0.0250006332072716
