"","ID","Title","cerno","N1","AUC","cES","P.Value","adj.P.Val"
"LI.M37.0","LI.M37.0","immune activation - generic cluster",1055.9183523192,322,0.702986353493949,1.63962477068199,1.72369326307334e-22,5.96397869023377e-20
"LI.M11.0","LI.M11.0","enriched in monocytes (II)",661.324696808147,182,0.757861812352654,1.81682609013227,1.527670334641e-19,2.64286967892892e-17
"LI.M32.1","LI.M32.1","platelet activation (II)",151.439651304523,21,0.908710311016255,3.60570598344103,2.77908220403737e-14,3.20520814198976e-12
"LI.S4","LI.S4","Monocyte surface signature",333.432475982169,90,0.755313592945831,1.85240264434538,2.8828733605634e-11,2.25569720230213e-09
"LI.M5.0","LI.M5.0","regulation of antigen presentation and immune response",297.700304768023,77,0.751289869758016,1.93311886213002,3.25967803800886e-11,2.25569720230213e-09
"LI.M32.0","LI.M32.0","platelet activation (I)",133.496310123304,22,0.883863481349596,3.0340070482569,5.97726875470922e-11,3.44689164854898e-09
"LI.M118.0","LI.M118.0","enriched in monocytes (IV)",229.355693565637,54,0.814671517113238,2.12366382931145,9.57634143050799e-11,4.73344876422252e-09
"LI.M32.2","LI.M32.2","CORO1A-DEF6 network (I)",121.254137949606,19,0.927872584813554,3.19089836709489,1.26069780649271e-10,5.45251801308099e-09
"LI.M4.0","LI.M4.0","cell cycle and transcription",842.714360290121,314,0.647312913100568,1.34190184759573,1.9202802563759e-08,7.38241076340069e-07
"LI.M32.8","LI.M32.8","cytoskeletal remodeling",75.1908383972927,10,0.899246777702023,3.75954191986464,2.53180666078408e-08,8.7600510463129e-07
"LI.M136","LI.M136","TBA",94.7589643482533,16,0.883660090923851,2.96121763588292,3.98417148360221e-08,1.25320303029669e-06
"LI.M167","LI.M167","enriched in cell cycle",90.6351722711595,15,0.894191886392172,3.02117240903865,5.25969006631572e-08,1.51654396912103e-06
"LI.M63","LI.M63","regulation of localization (GO)",78.7668796303502,12,0.888616513523166,3.28195331793126,9.55288165705829e-08,2.54253619487859e-06
"LI.M100","LI.M100","MAPK, RAS signaling",70.8207449117601,10,0.894087854290445,3.541037245588,1.33706184807627e-07,3.23512498724707e-06
