"","ID","Title","cerno","N1","AUC","cES","P.Value","adj.P.Val"
"LI.M37.0","LI.M37.0","immune activation - generic cluster",1099.24648065367,322,0.671155710571922,1.70690447306471,2.56359945953146e-26,8.87005412997885e-24
"LI.M7.0","LI.M7.0","enriched in T cells (I)",252.000643587236,56,0.818420349768911,2.2500057463146,8.71222067578399e-13,1.50721417691063e-10
"LI.M11.0","LI.M11.0","enriched in monocytes (II)",557.907671155397,182,0.694293887248277,1.53271338229505,2.39554477916586e-10,2.76286164530462e-08
"LI.M7.1","LI.M7.1","T cell activation (I)",194.187462081013,46,0.803616475526254,2.11073328348927,2.76841322341544e-09,2.39467743825435e-07
"LI.M188","LI.M188","TBA",79.1361548011727,10,0.825125807603649,3.95680774005863,5.50003950941136e-09,3.80602734051266e-07
"LI.M4.0","LI.M4.0","cell cycle and transcription",848.042973772503,314,0.645462673680548,1.35038690091163,9.45723094797915e-09,5.45366984666797e-07
"LI.M2.1","LI.M2.1","extracellular matrix (II)",182.045119178495,45,0.612439417249922,2.02272354642772,3.35933935353916e-08,1.66047345189221e-06
"LI.S4","LI.S4","Monocyte surface signature",296.817998485147,90,0.731485881897652,1.64898888047304,9.47594311122761e-08,4.09834539560594e-06
"LI.M5.0","LI.M5.0","regulation of antigen presentation and immune response",262.204114074478,77,0.712164876835925,1.70262411736674,1.23733375405366e-07,4.75686087669518e-06
"LI.M75","LI.M75","antiviral IFN signature",108.511203318813,22,0.834391857776833,2.46616371179121,2.27599751232637e-07,7.22106085552995e-06
"LI.M7.2","LI.M7.2","enriched in NK cells (I)",180.078843043883,47,0.756586864447807,1.91573237280727,2.2957129887523e-07,7.22106085552995e-06
"LI.M7.3","LI.M7.3","T cell activation (II)",127.000825388349,30,0.808360135581473,2.11668042313915,1.02689116428463e-06,2.96086952368735e-05
"LI.M124","LI.M124","enriched in membrane proteins",89.709891846419,18,0.811369467086676,2.49194144017831,1.76947336161805e-06,4.70952140861419e-05
"LI.M118.0","LI.M118.0","enriched in monocytes (IV)",189.464081020335,54,0.749952133750944,1.75429704648458,2.11823544060086e-06,5.23506758891355e-05
"LI.S0","LI.S0","T cell surface signature",111.066447123865,26,0.796604240326833,2.13589321392047,3.58761383720231e-06,8.27542925114666e-05
"LI.M150","LI.M150","innate antiviral response",67.1167268440659,12,0.863204433044363,2.79653028516941,5.92432240148472e-06,0.000128113471932107
"LI.M213","LI.M213","regulation of transcription, transcription factors",78.3031710284633,17,0.872857202892848,2.30303444201363,2.3818555545948e-05,0.000484777659935177
"LI.M105","LI.M105","TBA",77.247174606728,17,0.715622600277365,2.27197572372729,3.27725540097662e-05,0.000629961315965506
"LI.M223","LI.M223","enriched in T cells (II)",61.5337326037513,12,0.894820719287423,2.5639055251563,3.86766837413875e-05,0.000702002417665241
"LI.M245","LI.M245","translation initiation factor 3 complex",64.4917241507065,13,0.850534750008742,2.48045092887333,4.05781744315168e-05,0.000702002417665241
"LI.M5.1","LI.M5.1","T cell activation and signaling",86.6098806118072,22,0.761445203275078,1.96840637754107,0.000133159283925242,0.00219395772562541
"LI.M156.1","LI.M156.1","plasma cells, immunoglobulins",57.3952800090508,12,0.830795372144117,2.39147000037712,0.000147547334073304,0.00228078424819368
"LI.M19","LI.M19","T cell differentiation (Th2)",69.1586876797216,16,0.801136548140932,2.1612089899913,0.000151612825746979,0.00228078424819368
"LI.M234","LI.M234","transcription elongation, RNA polymerase II",59.0703557087537,13,0.832986157942324,2.27193675802899,0.000223328160030847,0.00310028853203093
"LI.M156.0","LI.M156.0","plasma cells & B cells, immunoglobulins",92.8085753614121,25,0.737588514259728,1.85617150722824,0.000224009286996455,0.00310028853203093
"LI.M31","LI.M31","cell cycle and growth arrest",55.8489351267228,12,0.760314187690077,2.32703896361345,0.000240270833276964,0.00319745031976268
"LI.M47.0","LI.M47.0","enriched in B cells (I)",142.829765645465,45,0.687578640201666,1.58699739606072,0.000332269978468552,0.00413264223946514
"LI.M243","LI.M243","TBA",54.7867141825925,12,0.852925419656482,2.28277975760802,0.000334433476026081,0.00413264223946514
"LI.M37.2","LI.M37.2","endoplasmic reticulum",74.4940899597232,19,0.771933243084328,1.96037078841377,0.000368340068268169,0.00439467805588918
"LI.M18","LI.M18","T cell differentiation via ITK and PKC",51.2510833820631,11,0.857092680047225,2.32959469918468,0.000396279170154596,0.00457041976244967
"LI.M32.0","LI.M32.0","platelet activation (I)",81.529656746063,22,0.775865937953047,1.85294674422871,0.000499750941485801,0.00557786534690604
"LI.M32.3","LI.M32.3","KLF12 targets network",64.1309904268865,16,0.768789576229907,2.0040934508402,0.000636377162011895,0.00681906474683392
"LI.M118.1","LI.M118.1","enriched in monocytes (surface)",66.8427104207226,17,0.795124336673684,1.96596207119772,0.000650373227299189,0.00681906474683392
"LI.M23","LI.M23","RA, WNT, CSF receptors network (monocyte)",51.7526753619398,12,0.692024632834399,2.15636147341416,0.000842605851321824,0.00857475366345151
"LI.M14","LI.M14","T cell differentiation",51.5224115249369,12,0.812861889455285,2.14676714687237,0.000902648016487156,0.00892332039155874
"LI.M238","LI.M238","respiratory electron transport chain (mitochondrion)",65.4519481816601,17,0.805111003289411,1.92505729946059,0.000946727443410115,0.00903423770152854
"LI.M16","LI.M16","TLR and inflammatory signaling",125.012594804529,40,0.681433817555491,1.56265743505661,0.000966089002764613,0.00903423770152854
"LI.M60","LI.M60","lymphocyte generic cluster",64.2611444805135,17,0.753710615895381,1.89003366119157,0.00129917852008693,0.0118293623144757
"LI.M201","LI.M201","TBA",66.6382692947288,18,0.735926635562916,1.85106303596469,0.00141937100587909,0.0125133525800674
"LI.M65","LI.M65","IL2, IL7, TCR network",41.1605295955231,9,0.815870542316877,2.28669608864017,0.00144663035607716,0.0125133525800674
"LI.M32.4","LI.M32.4","CORO1A-DEF6 network (II)",55.1174243859501,14,0.783306815598922,1.96847944235536,0.00164556890898485,0.0138869961587502
"LI.M204.0","LI.M204.0","chaperonin mediated protein folding (I)",54.9121368068909,14,0.804449876843292,1.96114774310325,0.00174187114269339,0.0143497003659979
"LI.M216","LI.M216","respiratory electron transport chain (mitochondrion)",46.088347832097,11,0.837349468713105,2.09492490145896,0.00192641141825304,0.0155008918771058
"LI.M127","LI.M127","type I interferon response",48.6174545291478,12,0.794184334989231,2.02572727204783,0.00211511127087694,0.016632465902805
"LI.M212","LI.M212","purine nucleotide biosynthesis",48.3356985270818,12,0.809739493706506,2.01398743862841,0.00229324839131687,0.0176325320754586
"LI.M72.2","LI.M72.2","TBA",47.9264489735455,12,0.818665649317619,1.99693537389773,0.00257758491260547,0.0186755281245984
"LI.M49","LI.M49","transcription regulation in cell development",134.493163989177,46,0.685047944092313,1.46188221727367,0.00258073332523907,0.0186755281245984
"LI.M7.4","LI.M7.4","T cell activation (III)",53.4600314189534,14,0.788567068220931,1.90928683639119,0.00259279033816166,0.0186755281245984
"LI.M40","LI.M40","complement and other receptors in DCs",50.6263888668353,13,0.712938402593575,1.94716880257059,0.00264480022573793,0.0186755281245984
"LI.M250","LI.M250","spliceosome",44.738756803395,11,0.852981109799292,2.03357985469977,0.00286387175591719,0.0198179925509469
"LI.M219","LI.M219","respiratory electron transport chain (mitochondrion)",61.1162293060396,17,0.796432842150304,1.79753615605999,0.00292755887010302,0.0198614778246205
"LI.M32.1","LI.M32.1","platelet activation (II)",71.5638872707277,21,0.736989436892003,1.70390207787447,0.00298830109330376,0.0198836957362135
"LI.M32.2","LI.M32.2","CORO1A-DEF6 network (I)",66.2460146656356,19,0.762412656739276,1.74331617541146,0.0030520314030641,0.0199245823671732
"LI.M55","LI.M55","TBA",47.0697722443868,12,0.743779559942422,1.96124051018278,0.00328479554205377,0.0210470232879742
"LI.M240","LI.M240","chromosome Y linked",49.6840110306358,13,0.639659418443755,1.9109235011783,0.00342866586947116,0.0215694252879459
"LI.M73","LI.M73","enriched in monocytes (III)",44.0067597230008,11,0.775038370720189,2.0003072601364,0.00353970622938888,0.0218703277744385
"LI.M64","LI.M64","enriched in activated dendritic cells/monocytes",60.2522993486302,17,0.724023778505362,1.7721264514303,0.00363687735063901,0.0220764835670368
"LI.M222","LI.M222","heme biosynthesis (II)",49.3047257951592,13,0.793592990553832,1.89633560750612,0.00380234842781161,0.0226829751038417
"LI.M117","LI.M117","cell adhesion (GO)",70.1627642557074,21,0.678281445738412,1.67054200608827,0.00413888428944639,0.0242721010872619
"LI.M66","LI.M66","TBA",59.4129806975052,17,0.763569297303906,1.74744060875015,0.00447817104334425,0.0257002325111356
"LI.M69","LI.M69","enriched in B cells (VI)",67.1907475882587,20,0.737571043486733,1.67976868970647,0.00453096584733893,0.0257002325111356
"LI.M192","LI.M192","TBA",45.3638772403266,12,0.731687717133673,1.89016155168028,0.00527417186869209,0.0294332817188301
"LI.M126","LI.M126","double positive thymocytes",50.6397398033785,14,0.772345636634366,1.80856213583495,0.00548236204594036,0.0301094804427836
"LI.S7","LI.S7","CD4 T cell surface signature Th2-stimulated",44.9244613703419,12,0.644431096247714,1.87185255709758,0.00594599860135998,0.0321455549386024
"LI.M139","LI.M139","lysosomal/endosomal proteins",42.0277070691039,11,0.783851829988194,1.9103503213229,0.00620281668880209,0.0330180703742388
"LI.M160","LI.M160","leukocyte differentiation",52.7586002637887,15,0.661347794085812,1.75862000879296,0.00630171019197313,0.0330362382791318
"LI.M86.0","LI.M86.0","chemokines and inflammatory molecules in myeloid cells",62.658653235313,19,0.719766583254707,1.64891192724508,0.00712364545970384,0.0365757416088419
"LI.M231","LI.M231","respiratory electron transport chain (mitochondrion)",41.4966584489142,11,0.768961038961039,1.88621174767792,0.00718829603873193,0.0365757416088419
