"","ID","Title","U","N1","AUC","P.Value","adj.P.Val"
"LI.M37.0","LI.M37.0","immune activation - generic cluster",3327039,320,0.340985762192122,5.50329541793318e-23,1.90414021460488e-20
"LI.M4.0","LI.M4.0","cell cycle and transcription",3391726,314,0.354188122085309,2.67775922308262e-19,4.63252345593294e-17
"LI.M4.1","LI.M4.1","cell cycle (I)",1236888,139,0.290117202013037,6.0300994827082e-18,6.95471473672346e-16
"LI.M32.1","LI.M32.1","platelet activation (II)",606076,21,0.93734205601695,1.95913094995855e-12,1.69464827171415e-10
"LI.M32.2","LI.M32.2","CORO1A-DEF6 network (I)",559093,19,0.955636118745812,3.04115097968602e-12,2.10447647794273e-10
"LI.M32.0","LI.M32.0","platelet activation (I)",616714,22,0.910469795883418,1.3068211253341e-11,7.53600182275997e-10
"LI.M22.0","LI.M22.0","mismatch repair (I)",138052,27,0.166093978593979,9.41645484691935e-10,4.65441911004871e-08
"LI.M136","LI.M136","TBA",458150,16,0.929838447799967,1.30546640446555e-09,5.64614219931349e-08
"LI.M165","LI.M165","enriched in activated dendritic cells (II)",242998,35,0.225591369898622,9.52536873350078e-09,3.66197509087919e-07
"LI.M226","LI.M226","proteasome",12976,12,0.0351093650226739,1.22003816663787e-08,4.22133205656703e-07
"LI.M174","LI.M174","TBA",107347,22,0.158478972714576,1.45325956810163e-08,4.57116191421059e-07
"LI.M32.3","LI.M32.3","KLF12 targets network",442315,16,0.897700519564864,1.80269340614857e-08,5.19776598772836e-07
"LI.M47.0","LI.M47.0","enriched in B cells (I)",1014048,45,0.732444906715205,3.37898980013333e-08,8.09490136866493e-07
"LI.M118.0","LI.M118.0","enriched in monocytes (IV)",478019,54,0.287811025252908,3.39542246095314e-08,8.09490136866493e-07
"LI.M72.0","LI.M72.0","TBA",93551,20,0.151912896625637,3.50935030433451e-08,8.09490136866493e-07
"LI.M32.7","LI.M32.7","TBA",325018,11,0.959321133412043,6.59618439493406e-08,1.42642487540449e-06
