"","ID","Title","U","N1","AUC","P.Value","adj.P.Val"
"LI.M7.0","LI.M7.0","enriched in T cells (I)",290143,56,0.168464477320761,4.4859712534552e-18,1.5521460536955e-15
"LI.M4.1","LI.M4.1","cell cycle (I)",1322965,139,0.310306918784221,5.39174204202479e-15,9.32771373270289e-13
"LI.M47.0","LI.M47.0","enriched in B cells (I)",1078080,45,0.778695096318447,4.85352702390842e-11,5.59773450090772e-09
"LI.M7.1","LI.M7.1","T cell activation (I)",338556,46,0.2392300680474,4.61972498419539e-10,3.99606211132901e-08
"LI.M7.3","LI.M7.3","T cell activation (II)",186967,30,0.202470138505355,8.38570387193411e-09,5.80290707937841e-07
"LI.M7.2","LI.M7.2","enriched in NK cells (I)",392703,47,0.271596118148596,2.97900634486497e-08,1.71789365887213e-06
"LI.M37.1","LI.M37.1","enriched in neutrophils (I)",1059540,48,0.717542177290901,9.09952579001664e-08,4.49776560477966e-06
"LI.M4.5","LI.M4.5","mitotic cell cycle in stimulated CD4 T cells",248417,33,0.244583399791665,1.88805572494426e-07,8.16584101038393e-06
"LI.M213","LI.M213","regulation of transcription, transcription factors",440940,17,0.842295481549118,5.10582330587151e-07,1.96290540425727e-05
"LI.M6","LI.M6","mitotic cell division",219650,29,0.246057368950506,1.09570138136083e-06,3.79112677950846e-05
"LI.M64","LI.M64","enriched in activated dendritic cells/monocytes",431082,17,0.823464464047618,1.93137871644062e-06,6.0750639626223e-05
"LI.M219","LI.M219","respiratory electron transport chain (mitochondrion)",93799,17,0.179177379856275,2.31477116335758e-06,6.58017785259931e-05
"LI.M72.2","LI.M72.2","TBA",325487,12,0.88067523837354,2.47232115849107e-06,6.58017785259931e-05
"LI.M69","LI.M69","enriched in B cells (VI)",487580,20,0.791757331687831,3.11643436184875e-06,7.70204492285478e-05
"LI.M32.0","LI.M32.0","platelet activation (I)",525581,22,0.775927943568984,3.70405277555252e-06,8.54401506894115e-05
"LI.M72.0","LI.M72.0","TBA",485508,20,0.788392712156149,3.9805876783373e-06,8.60802085440441e-05
"LI.M238","LI.M238","respiratory electron transport chain (mitochondrion)",98603,17,0.188354110235378,4.29592134719219e-06,8.74346344781469e-05
"LI.M32.3","LI.M32.3","KLF12 targets network",403307,16,0.818531823347946,5.10978945321316e-06,9.82215083784307e-05
"LI.M19","LI.M19","T cell differentiation (Th2)",90983,16,0.184654570547167,6.25987304897194e-06,0.000113995582891805
"LI.M226","LI.M226","proteasome",50862,12,0.137618104483912,6.88022758151002e-06,0.000119027937160123
"LI.M32.2","LI.M32.2","CORO1A-DEF6 network (I)",458817,19,0.784238216351479,8.91368919949263e-06,0.000146863641096402
"LI.M204.0","LI.M204.0","chaperonin mediated protein folding (I)",74068,14,0.17178853227819,1.0543632266183e-05,0.000160819641641873
"LI.M32.1","LI.M32.1","platelet activation (II)",496464,21,0.767818865123185,1.06903229993153e-05,0.000160819641641873
"LI.M250","LI.M250","spliceosome",45414,11,0.134043683589138,1.31303792372299e-05,0.000189296300670064
"LI.M32.4","LI.M32.4","CORO1A-DEF6 network (II)",354211,14,0.821534101187964,1.54636494285001e-05,0.000214016908090442
"LI.M55","LI.M55","TBA",311753,12,0.843514940961287,1.88375649623583e-05,0.00025068451834523
"LI.M4.4","LI.M4.4","mitotic cell cycle - DNA replication",226012,27,0.271920959420959,2.03432659464448e-05,0.000260695185832218
"LI.M32.7","LI.M32.7","TBA",286766,11,0.846416765053129,3.45688970616093e-05,0.000427172799404172
"LI.M234","LI.M234","transcription elongation, RNA polymerase II",74067,13,0.184994530114343,4.18576085334802e-05,0.000499404570778764
"LI.M147","LI.M147","intracellular transport",405274,17,0.774165326324074,4.52571206210192e-05,0.000521965457829088
"LI.M101","LI.M101","phosphatidylinositol signaling system",325424,13,0.812800031970108,4.69244906698927e-05,0.000523737863605899
"LI.M198","LI.M198","TBA",304578,12,0.824101431864671,5.04576866596465e-05,0.000545573737007428
"LI.M4.8","LI.M4.8","cell division - E2F transcription network",142754,19,0.244003910790226,5.57295526427429e-05,0.000584315915587546
"LI.S0","LI.S0","T cell surface signature",226085,26,0.28246148848715,6.13166821548239e-05,0.000623987412516737
"LI.M23","LI.M23","RA, WNT, CSF receptors network (monocyte)",302846,12,0.819415132525948,6.35123975042143e-05,0.000627865415327376
"LI.M214","LI.M214","TBA",301877,12,0.816793294154572,7.2143586334225e-05,0.000693380024212273
